account.length,area.code,international.plan,voice.mail.plan,number.vmail.messages,total.day.minutes,total.day.calls,total.eve.minutes,total.eve.calls,total.night.minutes,total.night.calls,total.intl.minutes,total.intl.calls,number.customer.service.calls,Status,avg.minute.day,avg.minute.eve,avg.minute.night,avg.minute.intl
107,415,no,yes,26,161.6,123,195.5,103,254.4,103,13.7,3,1,False,1.31382113821138,1.89805825242718,2.46990291262136,4.56666666666667
137,415,no,no,0,243.4,114,121.2,110,162.6,104,12.2,5,0,False,2.13508771929825,1.10181818181818,1.56346153846154,2.44
84,408,yes,no,0,299.4,71,61.9,88,196.9,89,6.6,7,2,False,4.2169014084507,0.703409090909091,2.2123595505618,0.942857142857143
118,510,yes,no,0,223.4,98,220.6,101,203.9,118,6.3,6,0,False,2.27959183673469,2.18415841584158,1.72796610169492,1.05
121,510,no,yes,24,218.2,88,348.5,108,212.6,118,7.5,7,3,False,2.47954545454545,3.22685185185185,1.80169491525424,1.07142857142857
117,408,no,no,0,184.5,97,351.6,80,215.8,90,8.7,4,1,False,1.9020618556701,4.395,2.39777777777778,2.175
141,415,yes,yes,37,258.6,84,222,111,326.4,97,11.2,5,0,False,3.07857142857143,2,3.36494845360825,2.24
65,415,no,no,0,129.1,137,228.5,83,208.8,111,12.7,6,4,True,0.942335766423358,2.75301204819277,1.88108108108108,2.11666666666667
168,408,no,no,0,128.8,96,104.9,71,141.1,128,11.2,2,1,False,1.34166666666667,1.47746478873239,1.10234375,5.6
95,510,no,no,0,156.6,88,247.6,75,192.3,115,12.3,5,3,False,1.77954545454545,3.30133333333333,1.67217391304348,2.46
93,510,no,no,0,190.7,114,218.2,111,129.6,121,8.1,3,3,False,1.67280701754386,1.96576576576577,1.07107438016529,2.7
76,510,no,yes,33,189.7,66,212.8,65,165.7,108,10,5,1,False,2.87424242424242,3.27384615384615,1.53425925925926,2
147,415,no,no,0,155.1,117,239.7,93,208.8,133,10.6,4,0,False,1.32564102564103,2.57741935483871,1.56992481203008,2.65
77,408,no,no,0,62.4,89,169.9,121,209.6,64,5.7,6,5,True,0.701123595505618,1.40413223140496,3.275,0.95
111,415,no,no,0,110.4,103,137.3,102,189.6,105,7.7,6,2,False,1.07184466019417,1.34607843137255,1.80571428571429,1.28333333333333
57,408,no,yes,39,213,115,191.1,112,182.7,115,9.5,3,0,False,1.85217391304348,1.70625,1.58869565217391,3.16666666666667
54,408,no,no,0,134.3,73,155.5,100,102.1,68,14.7,4,3,False,1.83972602739726,1.555,1.50147058823529,3.675
20,415,no,no,0,190,109,258.2,84,181.5,102,6.3,6,0,False,1.74311926605505,3.07380952380952,1.77941176470588,1.05
49,510,no,no,0,119.3,117,215.1,109,178.7,90,11.1,1,1,False,1.01965811965812,1.97339449541284,1.98555555555556,11.1
142,415,no,no,0,84.8,95,136.7,63,250.5,148,14.2,6,2,False,0.892631578947368,2.16984126984127,1.69256756756757,2.36666666666667
172,408,no,no,0,212,121,31.2,115,293.3,78,12.6,10,3,False,1.75206611570248,0.271304347826087,3.76025641025641,1.26
57,408,no,yes,25,176.8,94,195,75,213.5,116,8.3,4,0,False,1.88085106382979,2.6,1.84051724137931,2.075
72,415,no,yes,37,220,80,217.3,102,152.8,71,14.7,6,3,False,2.75,2.13039215686275,2.15211267605634,2.45
78,415,no,no,0,130.8,64,223.7,116,227.8,108,10,5,1,False,2.04375,1.92844827586207,2.10925925925926,2
136,415,yes,yes,33,203.9,106,187.6,99,101.7,107,10.5,6,3,False,1.92358490566038,1.89494949494949,0.950467289719626,1.75
149,408,no,no,0,140.4,94,271.8,92,188.3,108,11.1,9,1,False,1.4936170212766,2.95434782608696,1.74351851851852,1.23333333333333
98,408,no,no,0,126.3,102,166.8,85,187.8,135,9.4,2,3,False,1.23823529411765,1.96235294117647,1.39111111111111,4.7
135,408,yes,yes,41,173.1,85,203.9,107,122.2,78,14.6,15,0,True,2.03647058823529,1.90560747663551,1.56666666666667,0.973333333333333
34,510,no,no,0,124.8,82,282.2,98,311.5,78,10,4,2,False,1.5219512195122,2.87959183673469,3.99358974358974,2.5
160,415,no,no,0,85.8,77,165.3,110,178.5,92,9.2,4,3,False,1.11428571428571,1.50272727272727,1.94021739130435,2.3
59,408,no,yes,28,120.9,97,213,92,163.1,116,8.5,5,2,False,1.24639175257732,2.31521739130435,1.40603448275862,1.7
65,415,no,no,0,211.3,120,162.6,122,134.7,118,13.2,5,3,False,1.76083333333333,1.3327868852459,1.14152542372881,2.64
142,408,no,no,0,187,133,134.6,74,242.2,127,7.4,5,2,False,1.40601503759399,1.81891891891892,1.90708661417323,1.48
119,415,no,no,0,159.1,114,231.3,117,143.2,91,8.8,3,5,True,1.39561403508772,1.97692307692308,1.57362637362637,2.93333333333333
97,415,no,yes,24,133.2,135,217.2,58,70.6,79,11,3,1,False,0.986666666666667,3.7448275862069,0.893670886075949,3.66666666666667
52,408,no,no,0,191.9,108,269.8,96,236.8,87,7.8,5,3,False,1.77685185185185,2.81041666666667,2.72183908045977,1.56
60,408,no,no,0,220.6,57,211.1,115,249,129,6.8,3,1,False,3.87017543859649,1.83565217391304,1.93023255813953,2.26666666666667
87,415,no,no,0,151,83,219.7,116,203.9,127,9.7,3,5,True,1.81927710843373,1.89396551724138,1.60551181102362,3.23333333333333
81,408,no,no,0,175.5,67,249.3,85,270.2,98,10.2,3,1,False,2.61940298507463,2.93294117647059,2.75714285714286,3.4
141,415,no,no,0,126.9,98,180,62,140.8,128,8,2,1,False,1.29489795918367,2.90322580645161,1.1,4
121,408,no,yes,30,198.4,129,75.3,77,181.2,77,5.8,3,3,True,1.53798449612403,0.977922077922078,2.35324675324675,1.93333333333333
68,415,no,no,0,148.8,70,246.5,164,129.8,103,12.1,3,3,False,2.12571428571429,1.5030487804878,1.26019417475728,4.03333333333333
125,408,no,no,0,229.3,103,177.4,126,189.3,95,12,8,1,False,2.22621359223301,1.40793650793651,1.99263157894737,1.5
174,408,no,no,0,192.1,97,169.9,94,166.6,54,11.4,4,1,False,1.98041237113402,1.80744680851064,3.08518518518519,2.85
116,415,no,yes,34,268.6,83,178.2,142,166.3,106,11.6,3,2,False,3.23614457831325,1.25492957746479,1.5688679245283,3.86666666666667
74,510,no,yes,33,193.7,91,246.1,96,138,92,14.6,3,2,False,2.12857142857143,2.56354166666667,1.5,4.86666666666667
149,408,no,yes,28,180.7,92,187.8,64,265.5,53,12.6,3,3,False,1.96413043478261,2.934375,5.00943396226415,4.2
38,408,no,no,0,131.2,98,162.9,97,159,106,8.2,6,2,False,1.33877551020408,1.67938144329897,1.5,1.36666666666667
40,415,no,yes,41,148.1,74,169.5,88,214.1,102,6.2,5,2,False,2.00135135135135,1.92613636363636,2.09901960784314,1.24
43,415,yes,no,0,251.5,105,212.8,104,157.8,67,9.3,4,0,False,2.3952380952381,2.04615384615385,2.35522388059701,2.325
113,408,yes,no,0,125.2,93,206.4,119,129.3,139,8.3,8,0,False,1.34623655913978,1.73445378151261,0.93021582733813,1.0375
150,510,no,no,0,178.9,101,169.1,110,148.6,100,13.8,3,4,True,1.77128712871287,1.53727272727273,1.486,4.6
138,408,no,no,0,241.8,93,170.5,83,295.3,104,11.8,7,3,False,2.6,2.05421686746988,2.83942307692308,1.68571428571429
162,510,no,yes,46,224.9,97,188.2,84,254.6,61,12.1,2,0,False,2.31855670103093,2.24047619047619,4.17377049180328,6.05
147,510,no,no,0,248.6,83,148.9,85,172.5,109,8,4,3,False,2.99518072289157,1.75176470588235,1.58256880733945,2
90,415,no,no,0,203.4,146,226.7,117,152.4,105,7.3,4,1,False,1.39315068493151,1.93760683760684,1.45142857142857,1.825
50,415,no,no,0,157.1,90,223.3,72,181.4,111,6.1,2,1,False,1.74555555555556,3.10138888888889,1.63423423423423,3.05
82,415,no,no,0,300.3,109,181,100,270.1,73,11.7,4,0,True,2.75504587155963,1.81,3.7,2.925
70,408,no,no,0,170.2,98,155.2,102,228.6,76,15,2,1,False,1.73673469387755,1.52156862745098,3.00789473684211,7.5
144,415,no,no,0,201.1,99,303.5,74,224,119,13.2,2,1,False,2.03131313131313,4.10135135135135,1.88235294117647,6.6
55,408,no,yes,25,165.6,123,136.1,95,175.7,90,11,2,3,False,1.34634146341463,1.43263157894737,1.95222222222222,5.5
70,415,no,yes,24,249.5,101,259.7,98,222.7,68,9.8,4,1,False,2.47029702970297,2.65,3.275,2.45
106,510,no,no,0,210.6,96,249.2,85,191.4,88,12.4,1,2,True,2.19375,2.93176470588235,2.175,12.4
128,510,no,yes,29,179.3,104,225.9,86,323,78,8.6,7,0,False,1.72403846153846,2.62674418604651,4.14102564102564,1.22857142857143
94,408,no,no,0,157.9,105,155,101,189.6,84,8,5,4,True,1.50380952380952,1.53465346534653,2.25714285714286,1.6
74,415,no,yes,35,154.1,104,123.4,84,202.1,57,10.9,9,2,False,1.48173076923077,1.46904761904762,3.54561403508772,1.21111111111111
128,415,no,no,0,237.9,125,247.6,93,208.9,68,13.9,4,1,True,1.9032,2.66236559139785,3.07205882352941,3.475
82,510,no,no,0,143.9,61,194.9,105,109.6,94,11.1,2,1,False,2.35901639344262,1.85619047619048,1.16595744680851,5.55
155,415,no,no,0,203.4,100,190.9,104,196,119,8.9,4,0,True,2.034,1.83557692307692,1.64705882352941,2.225
80,415,no,no,0,124.3,100,173,107,253.2,62,7.9,9,1,False,1.243,1.61682242990654,4.08387096774194,0.877777777777778
104,408,no,no,0,278.4,106,81,113,163.2,137,9.8,5,1,False,2.62641509433962,0.716814159292035,1.19124087591241,1.96
73,415,no,no,0,160.1,110,213.3,72,174.1,72,13,4,0,False,1.45545454545455,2.9625,2.41805555555556,3.25
99,415,no,no,0,198.2,87,207.3,76,190.9,113,8.7,3,4,False,2.27816091954023,2.72763157894737,1.68938053097345,2.9
120,408,no,no,0,212.1,131,209.4,104,167.2,96,5.3,5,1,True,1.61908396946565,2.01346153846154,1.74166666666667,1.06
108,415,no,no,0,178.3,137,189,76,129.1,102,14.6,5,0,False,1.3014598540146,2.48684210526316,1.2656862745098,2.92
122,408,no,no,0,170.5,94,173.7,109,248.6,75,11.3,2,1,False,1.81382978723404,1.59357798165138,3.31466666666667,5.65
95,408,no,no,0,238.1,65,187.2,98,190,115,11.8,4,4,False,3.66307692307692,1.91020408163265,1.65217391304348,2.95
