"SCORE","GUESS","TRUTH","TEXT"
,,"e","When all else fails #Disney"
,,"n","昨日の幸せな気持ちのまま今日はLANDにいっちゃうよ♡はあ、幸せ♡笑"
,,"e","Best part of having a neice now is having an excuse to relive all the old Disney movies #TheAristocats"
,,"e","I can't wait for Disney though"
,,"e","request now ""let's get tricky"" by @bellathorne and @ROSHON on @radiodisney!!! just call 1-877-870-5678 or at http://t.co/cbne5yRKhQ!! <3"
,,"n","100均のDisneyが可愛いよぉ〜(/ _ ; )❤️ 帰る前に買っていこう。 そしてプリンセスって、ラプちゃんがセンターになったのかしら アリエルはどこー？ みんな好きだけど http://t.co/QEsaB0s1Sg"
,,"e","I fully love the Disney Channel I do not care 😍"
,,"n","@greenath_ t'as de la chance d'aller a Disney putain j'y ai jamais été moi."
,,"e","AHH! What a talent! Love ya girl! @ShoshanaBean in Disney-Style Spell Block Tango! http://t.co/rmpMlfdYpp via @toddyrockstar @PerezHilton"
,,"n","Prefiro gastar uma baba de dinheiro pra ir pra cancun doq pra Disney por exemplo"
,,"n","@meeelp mas que venha um filhinho mais fofo que o próprio pai, com covinha e amando a Disney kkkkkkkkkkkkkkkkk"
,,"e","“@rpdavlin: I want to go to a college in California so I can go to Disney Land whenever I want”"
,,"e","Cant sleep so im watching.. Beverley Hills Chihuahua.. Yep thats right, I'm watching a disney film about talking dogs.. FML!!!"
,,"n","なんか、Twitterアップデートしたらさ…(^◇^;)"
,,"e","Miley isn’t Hannah anymore, Demi isn’t Sonny anymore, Selena isn’t Alex anymore. Disney isn’t Disney anymore."
,,"n","ES INSUPERABLE DISNEY !! QUIERO VOLVER:("
,,,"Creo q fue lo peor q pude hacer mirar los videos de disney"
,,"n","Malisímos los nuevos dibujitos de disney, nickelodeon, cartoon, etc, no me gustannn"
,,"n","@Hukaaaa_disney ネオマウスという役で出てきてました（笑）聞いた瞬間マジフィニアスでした（笑）"
,,"e","@FernandaAbarca_ how did you become an artist for Dream Works. I wanna do that for Disney!"
,,"e","Disney channel should have played ""Mom's got a date with a vampire"""
,,,"Some imagination, huh? #fantasmic #studios # glowwiththeshow #disney #disneynerd #disneyaddict… http://t.co/807pkrugAS"
,,,"@SolDominguez14 TE CONTE QUE SE ME PERDIERON CON LAS FOTOS DE DISNEY"
,,"n","@HedyHAMIDI au quartier pas a Disney moi"
,,,"for Christmas break im going to Disney for 4 days then Naples (Florida) for 4 days and then south beach for four days and i can't wait eeeee"
,,,"one weekend all I wanna do is watch old Disney tv shows"
,,,"A Disney le falta crear una princesa que también sin príncipe viva feliz."
,,,"Becky M brings east and west coast Disney together in her outstanding debut Zone article. http://t.co/n24vg1YjJ7"
