year,population
1700,127026
1725,140413
1750,155212
1775,198344
1800,255000
1805,255293
1810,255587
1815,255880
1820,256175
1825,256469
1830,256764
1834,257000
1840,270348
1845,282000
1850,283496
1855,285000
1860,292366
1861,135634.2
1866,148457
1871,191307.1
1872,303415
1871,306000
1875,300963
1881,201888.1
1881,250155
1881,293562
1885,288730
1890,282801
1895,276994
1901,295215
1900,271306
1901,270183
1902,269064
1903,267950
1904,266840
1905,265735
1906,264635
1907,263539
1908,262447
1909,261361
1910,260278
1911,259201
1912,258127
1913,257058
1914,255994
1915,254934
1916,253878
1917,252827
1918,251780
1919,250737
1920,249699
1921,251441
1922,254963
1923,257637
1924,260339
1925,263071
1926,265831
1927,268621
1928,271442
1929,274293
1930,277175
1931,279115
1932,284102
1933,287902
1934,291753
1935,295666
1936,299614
1937,303626
1938,307694
1939,311820
1940,316004
1941,318826
1942,324180
1943,328255
1944,332332
1945,336562
1946,340796
1947,345085
1948,349430
1949,353832
1950,350445
1951,363211
1952,369231
1953,375633
1954,382438
1955,395096
1956,397334
1957,405450
1958,414021
1959,423053
1960,431463
1961,438800
1962,452378
1963,462196
1964,472305
1965,482706
1966,493389
1967,504345
1968,515601
1969,527177
1970,539075
1971,547900
1972,563530
1973,575887
1974,588299
1975,600763
1976,613273
1977,630200
1978,644330
1979,658730
1980,688956
1981,685200
1982,703570
1983,719090
1984,734870
1985,749184
1986,767200
1987,783730
1988,797526
1989,817490
1990,833929
1991,843931
1992,883473
1993,900453
1994,918570
1995,934228
1996,945121
1997,962378
1998,979673
1999,997515
2000,1014003.8
2001,1027015.2
2002,
2003,
2004,
2005,1094985
2006,
2007,
2008,
2009,
2010,1170014
2011,
2012,
2013,
2014,
2015,1237985
2020,1304263
2025,1370028
2030,1432181
2050,1706951
